"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2024","1,137.00","1,137.00","1,137.00","1,137.00","","0.15%"
"12/05/2024","1,135.25","1,135.25","1,135.25","1,135.25","","2.44%"
"12/04/2024","1,108.25","1,108.25","1,108.25","1,108.25","","-0.76%"
"12/03/2024","1,116.75","1,116.75","1,116.75","1,116.75","","1.96%"
"12/02/2024","1,095.25","1,095.25","1,095.25","1,095.25","0.16K","-0.97%"
"11/29/2024","1,106.00","1,106.00","1,106.00","1,106.00","","0.36%"
"11/27/2024","1,102.00","1,102.00","1,102.00","1,102.00","","0.20%"
"11/26/2024","1,099.75","1,099.75","1,099.75","1,099.75","","0.16%"
"11/25/2024","1,098.00","1,098.00","1,098.00","1,098.00","","0.30%"
"11/22/2024","1,094.75","1,094.75","1,094.75","1,094.75","","-0.77%"
"11/21/2024","1,103.25","1,103.25","1,103.25","1,103.25","","-0.29%"
"11/20/2024","1,106.50","1,106.50","1,106.50","1,106.50","","-0.83%"
"11/19/2024","1,115.75","1,115.75","1,115.75","1,115.75","","0.20%"
"11/18/2024","1,113.50","1,113.50","1,113.50","1,113.50","","-1.29%"
"11/15/2024","1,128.00","1,128.00","1,128.00","1,128.00","","1.32%"
"11/14/2024","1,113.25","1,113.25","1,113.25","1,113.25","","-0.51%"
"11/13/2024","1,119.00","1,119.00","1,119.00","1,119.00","","-0.71%"
"11/12/2024","1,127.00","1,127.00","1,127.00","1,127.00","","-2.66%"
"11/11/2024","1,157.75","1,157.75","1,157.75","1,157.75","","1.11%"
"11/08/2024","1,145.00","1,145.00","1,145.00","1,145.00","","2.81%"
"11/07/2024","1,113.75","1,113.75","1,113.75","1,113.75","","-0.09%"
"11/06/2024","1,114.75","1,114.75","1,114.75","1,114.75","","1.85%"
"11/05/2024","1,094.50","1,094.50","1,094.50","1,094.50","0.04K","-1.66%"
"11/04/2024","1,113.00","1,113.00","1,113.00","1,113.00","0.04K","0.61%"
"11/01/2024","1,106.25","1,106.25","1,106.25","1,106.25","0.02K","9.21%"
"10/31/2024","1,013.00","1,013.00","1,013.00","1,013.00","","0.00%"
"10/30/2024","1,013.00","1,013.00","1,013.00","1,013.00","","0.05%"
"10/29/2024","1,012.50","1,012.50","1,012.50","1,012.50","","0.20%"
"10/28/2024","1,010.50","1,010.50","1,010.50","1,010.50","","-0.05%"
"10/25/2024","1,011.00","1,011.00","1,011.00","1,011.00","","-0.27%"
"10/24/2024","1,013.75","1,013.75","1,013.75","1,013.75","","0.55%"
"10/23/2024","1,008.25","1,008.25","1,008.25","1,008.25","","0.52%"
"10/22/2024","1,003.00","1,003.00","1,003.00","1,003.00","","0.45%"
"10/21/2024","998.50","998.50","998.50","998.50","","0.43%"
"10/18/2024","994.25","994.25","994.25","994.25","","-0.23%"
"10/17/2024","996.50","996.50","996.50","996.50","","-0.37%"
"10/16/2024","1,000.25","1,000.25","1,000.25","1,000.25","","0.86%"
"10/15/2024","991.75","991.75","991.75","991.75","","-0.65%"
"10/14/2024","998.25","998.25","998.25","998.25","","-0.57%"
"10/11/2024","1,004.00","1,004.00","1,004.00","1,004.00","","1.90%"
"10/10/2024","985.25","985.25","985.25","985.25","","-0.40%"
"10/09/2024","989.25","989.25","989.25","989.25","","-0.25%"
"10/08/2024","991.75","991.75","991.75","991.75","","-1.54%"
"10/07/2024","1,007.25","1,007.25","1,007.25","1,007.25","","0.20%"
"10/04/2024","1,005.25","1,005.25","1,005.25","1,005.25","","1.90%"
"10/03/2024","986.50","986.50","986.50","986.50","","-1.18%"
"10/02/2024","998.25","998.25","998.25","998.25","","4.28%"
"10/01/2024","957.25","957.25","957.25","957.25","0.04K","3.91%"
"09/30/2024","921.25","921.25","921.25","921.25","","-0.05%"
"09/27/2024","921.75","921.75","921.75","921.75","","-0.22%"
"09/26/2024","923.75","923.75","923.75","923.75","","0.35%"
"09/25/2024","920.50","920.50","920.50","920.50","","0.60%"
"09/24/2024","915.00","915.00","915.00","915.00","","0.25%"
"09/23/2024","912.75","912.75","912.75","912.75","","0.11%"
"09/20/2024","911.75","911.75","911.75","911.75","","1.22%"
"09/19/2024","900.75","900.75","900.75","900.75","","0.22%"
"09/18/2024","898.75","898.75","898.75","898.75","","1.67%"
"09/17/2024","884.00","884.00","884.00","884.00","","-0.20%"
"09/16/2024","885.75","885.75","885.75","885.75","","0.00%"
"09/13/2024","885.75","885.75","885.75","885.75","","-0.28%"
"09/12/2024","888.25","888.25","888.25","888.25","","-0.70%"
"09/11/2024","894.50","894.50","894.50","894.50","","0.70%"
"09/10/2024","888.25","888.25","888.25","888.25","","-0.59%"
"09/09/2024","893.50","893.50","893.50","893.50","","-0.39%"
"09/06/2024","897.00","897.00","897.00","897.00","","-0.36%"
"09/05/2024","900.25","900.25","900.25","900.25","","1.01%"
"09/04/2024","891.25","891.25","891.25","891.25","","-0.47%"
"09/03/2024","895.50","895.50","895.50","895.50","","4.13%"
"08/30/2024","860.00","860.00","860.00","860.00","","0.06%"
"08/29/2024","859.50","859.50","859.50","859.50","","0.09%"
"08/28/2024","858.75","858.75","858.75","858.75","","0.03%"
"08/27/2024","858.50","858.50","858.50","858.50","","-0.06%"
"08/26/2024","859.00","859.00","859.00","859.00","","0.56%"
"08/23/2024","854.25","854.25","854.25","854.25","","0.26%"
"08/22/2024","852.00","852.00","852.00","852.00","","0.59%"
"08/21/2024","847.00","847.00","847.00","847.00","","0.36%"
"08/20/2024","844.00","844.00","844.00","844.00","","0.03%"
"08/19/2024","843.75","843.75","843.75","843.75","","1.20%"
"08/16/2024","833.75","833.75","833.75","833.75","","-0.36%"
"08/15/2024","836.75","836.75","836.75","836.75","","0.12%"
"08/14/2024","835.75","835.75","835.75","835.75","","0.75%"
"08/13/2024","829.50","829.50","829.50","829.50","","-0.48%"
"08/12/2024","833.50","833.50","833.50","833.50","","-0.51%"
"08/09/2024","837.75","837.75","837.75","837.75","","1.03%"
"08/08/2024","829.25","829.25","829.25","829.25","","0.48%"
"08/07/2024","825.25","825.25","825.25","825.25","","-0.57%"
"08/06/2024","830.00","830.00","830.00","830.00","","-2.64%"
"08/05/2024","852.50","852.50","852.50","852.50","","-0.67%"
"08/02/2024","858.25","858.25","858.25","858.25","","1.48%"
"08/01/2024","845.75","845.75","845.75","845.75","","-0.03%"
"07/31/2024","846.00","846.00","846.00","846.00","","0.03%"
"07/30/2024","845.75","845.75","845.75","845.75","","0.03%"
"07/29/2024","845.50","845.50","845.50","845.50","","-0.06%"
"07/26/2024","846.00","846.00","846.00","846.00","","0.15%"
"07/25/2024","844.75","844.75","844.75","844.75","","-0.03%"
"07/24/2024","845.00","845.00","845.00","845.00","","-0.29%"
"07/23/2024","847.50","847.50","847.50","847.50","","-0.06%"
"07/22/2024","848.00","848.00","848.00","848.00","","0.15%"
"07/19/2024","846.75","846.75","846.75","846.75","","0.15%"
"07/18/2024","845.50","845.50","845.50","845.50","","0.15%"
"07/17/2024","844.25","844.25","844.25","844.25","","0.12%"
"07/16/2024","843.25","843.25","843.25","843.25","","0.69%"
"07/15/2024","837.50","837.50","837.50","837.50","","-0.33%"
"07/12/2024","840.25","840.25","840.25","840.25","","0.00%"
"07/11/2024","840.25","840.25","840.25","840.25","","0.42%"
"07/10/2024","836.75","836.75","836.75","836.75","","-0.80%"
"07/09/2024","843.50","843.50","843.50","843.50","","-1.58%"
"07/08/2024","857.00","857.00","857.00","857.00","","0.00%"
"07/05/2024","857.00","857.00","857.00","857.00","","-0.55%"
"07/03/2024","861.75","861.75","861.75","861.75","","-0.17%"
"07/02/2024","863.25","863.25","863.25","863.25","","2.49%"
"07/01/2024","842.25","842.25","842.25","842.25","","1.20%"
"06/28/2024","832.25","832.25","832.25","832.25","","0.03%"
"06/27/2024","832.00","832.00","832.00","832.00","","0.00%"
"06/26/2024","832.00","832.00","832.00","832.00","","0.09%"
"06/25/2024","831.25","831.25","831.25","831.25","","-0.21%"
"06/24/2024","833.00","833.00","833.00","833.00","","0.00%"
"06/21/2024","833.00","833.00","833.00","833.00","","-0.54%"
"06/20/2024","837.50","837.50","837.50","837.50","","0.84%"
"06/18/2024","830.50","830.50","830.50","830.50","","-0.57%"
"06/17/2024","835.25","835.25","835.25","835.25","","0.00%"
"06/14/2024","835.25","835.25","835.25","835.25","","-0.09%"
"06/13/2024","836.00","836.00","836.00","836.00","","-0.33%"
"06/12/2024","838.75","838.75","838.75","838.75","","0.66%"
"06/11/2024","833.25","833.25","833.25","833.25","","0.03%"
"06/10/2024","833.00","833.00","833.00","833.00","","-1.39%"
"06/07/2024","844.75","844.75","844.75","844.75","","0.27%"
"06/06/2024","842.50","842.50","842.50","842.50","","1.35%"
"06/05/2024","831.25","831.25","831.25","831.25","","-0.48%"
"06/04/2024","835.25","835.25","835.25","835.25","","-3.55%"
"06/03/2024","866.00","866.00","866.00","866.00","","4.97%"
"05/31/2024","825.00","825.00","825.00","825.00","","0.12%"
"05/30/2024","824.00","824.00","824.00","824.00","","-0.12%"
"05/29/2024","825.00","825.00","825.00","825.00","","0.24%"
"05/28/2024","823.00","823.00","823.00","823.00","","0.49%"
"05/24/2024","819.00","819.00","819.00","819.00","","-0.12%"
"05/23/2024","820.00","820.00","820.00","820.00","","0.09%"
"05/22/2024","819.25","819.25","819.25","819.25","","0.00%"
"05/21/2024","819.25","819.25","819.25","819.25","","-0.58%"
"05/20/2024","824.00","824.00","824.00","824.00","","0.30%"
"05/17/2024","821.50","821.50","821.50","821.50","","1.08%"
"05/16/2024","812.75","812.75","812.75","812.75","","-0.43%"
"05/15/2024","816.25","816.25","816.25","816.25","","0.93%"
"05/14/2024","808.75","808.75","808.75","808.75","","-0.58%"
"05/13/2024","813.50","813.50","813.50","813.50","","0.96%"
"05/10/2024","805.75","805.75","805.75","805.75","","-0.40%"
"05/09/2024","809.00","809.00","809.00","809.00","","-0.64%"
"05/08/2024","814.25","814.25","814.25","814.25","","-1.42%"
"05/07/2024","826.00","826.00","826.00","826.00","","1.63%"
"05/06/2024","812.75","812.75","812.75","812.75","","0.31%"
"05/03/2024","810.25","810.25","810.25","810.25","","0.71%"
"05/02/2024","804.50","804.50","804.50","804.50","","0.72%"
"05/01/2024","798.75","798.75","798.75","798.75","","-7.34%"
"04/30/2024","862.00","862.00","862.00","862.00","","-0.12%"
"04/29/2024","863.00","863.00","863.00","863.00","","0.06%"
"04/26/2024","862.50","862.50","862.50","862.50","","0.09%"
"04/25/2024","861.75","861.75","861.75","861.75","","-0.35%"
"04/24/2024","864.75","864.75","864.75","864.75","","-0.17%"
"04/23/2024","866.25","866.25","866.25","866.25","","0.23%"
"04/22/2024","864.25","864.25","864.25","864.25","","0.17%"
"04/19/2024","862.75","862.75","862.75","862.75","","-0.60%"
"04/18/2024","868.00","868.00","868.00","868.00","","-0.20%"
"04/17/2024","869.75","869.75","869.75","869.75","","-0.74%"
"04/16/2024","876.25","876.25","876.25","876.25","","-1.02%"
"04/15/2024","885.25","885.25","885.25","885.25","","-1.12%"
"04/12/2024","895.25","895.25","895.25","895.25","","-0.80%"
"04/11/2024","902.50","902.50","902.50","902.50","","0.00%"
"04/10/2024","902.50","902.50","902.50","902.50","","0.00%"
"04/09/2024","902.50","902.50","902.50","902.50","","0.50%"
"04/08/2024","898.00","898.00","898.00","898.00","","-1.05%"
"04/05/2024","907.50","907.50","907.50","907.50","","-1.14%"
"04/04/2024","918.00","918.00","918.00","918.00","","0.08%"
"04/03/2024","917.25","917.25","917.25","917.25","","2.12%"
"04/02/2024","898.25","898.25","898.25","898.25","0.24K","1.90%"
"04/01/2024","881.50","881.50","881.50","881.50","","0.06%"
"03/28/2024","881.00","881.00","881.00","881.00","","0.00%"
"03/27/2024","881.00","881.00","881.00","881.00","","-0.25%"
"03/26/2024","883.25","883.25","883.25","883.25","","0.00%"
"03/25/2024","883.25","883.25","883.25","883.25","","0.31%"
"03/22/2024","880.50","880.50","880.50","880.50","","-0.54%"
"03/21/2024","885.25","885.25","885.25","885.25","","0.06%"
"03/20/2024","884.75","884.75","884.75","884.75","","0.51%"
"03/19/2024","880.25","880.25","880.25","880.25","","-0.42%"
